source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,g_mag_abs_index,g_min_ks_index,j_ks_mag,m_ks
5608797967945616512,239.5776902971441,-12.02899883678195,103.81151805593095,-29.038800346227184,7.975053156525322,0.02,-0.11,-0.06,1.5989807747463236,3.330389,15.0,12.0,0.29,5.78
6884591271341630080,36.72063563501939,-39.14081524288376,319.95276018607115,-14.01751938797528,5.030377857672255,-0.08,0.09,0.16,,,5.0,1.0,0.03,6.85
1118851457489262464,142.30929040350006,36.00442642595339,135.99279239693556,71.30535503749408,11.8104251139701,0.03,0.04,-0.07,,1.897591,23.0,7.0,0.12,6.29
6508703430177308544,338.2427719453505,-51.76805626082563,335.51690483161104,-53.86416648518982,4.338346033752291,0.07,-0.05,0.21,5.058715913882254,10.628875,1.0,18.0,0.55,5.13
5243478185872495872,288.01680938463477,-12.489710995766659,146.26929562360766,-69.7619882744055,5.761900838265804,0.04,-0.16,0.05,,3.3874507,8.0,5.0,0.15,6.45
5164500093844340608,195.73081552108826,-46.3119881959641,54.709045132174985,-8.507077471134952,3.198646957774253,0.06,-0.06,-0.3,-18.480697321009167,17.4483,-5.0,22.0,0.71,4.72
6429507875372702848,331.7668831618766,-34.9538269725971,307.64108332978645,-64.19027881075515,7.1489910326042,0.04,-0.05,0.12,3.2657035360631035,3.9380527,12.0,10.0,0.29,5.98
5382171201072299904,287.0106068547382,16.66313692107076,171.59499102519393,-43.56344590002246,4.3165109731099465,-0.06,-0.21,0.07,,4.835212,1.0,6.0,0.21,6.34
607114384867121024,214.4874292822487,36.822577717183115,137.03486177085696,14.71135596261807,5.553301941091891,-0.06,-0.08,-0.15,31.625021444582455,10.663595,7.0,23.0,0.7,4.63
184810140644972032,171.1569770423541,-4.190012984508263,76.53486335861416,33.91862293368789,4.6913949304242575,0.0,0.03,-0.21,,,3.0,-1.0,-0.06,7.06
4651634922321866112,282.60371032367425,-33.88189337416871,76.77722715294865,-71.2702077061494,4.752091076433304,0.11,-0.17,0.05,12.850203264014429,12.327227,3.0,24.0,0.78,4.58
5535094370642969984,257.0660703067548,-10.095017385472996,115.35614004572183,-43.63531772804571,2.592268746941209,0.07,-0.37,-0.09,,,-10.0,1.0,-0.02,6.88
2912300156711142528,232.4431916567743,-17.868114225938893,94.73159938861072,-25.012727433325853,2.831447642222728,0.09,-0.27,-0.22,,,-8.0,-4.0,-0.11,7.37
6794636789101323904,14.950571383019238,-37.83535534593526,312.91859320178395,-29.78097812296235,5.243070381625357,-0.03,0.04,0.18,-21.456390023119567,9.452624,5.0,20.0,0.63,4.94
6523473307314039168,321.7874649764327,-64.19538368832794,359.94217409994064,-50.99943226359036,5.067246449759638,0.11,-0.05,0.16,26.310909654902524,10.1891985,5.0,20.0,0.63,4.94
1551945892215636480,104.02994899378794,68.37990080230237,202.98394815971426,47.23439823481837,8.792642237024962,0.1,0.04,-0.03,,2.3003223,17.0,5.0,0.12,6.44
4438068257617132672,19.4381646260057,36.68665203987325,244.50502994163668,6.0783949160706365,4.606726104837138,0.04,0.06,0.2,29.517320507783587,11.468548,3.0,21.0,0.66,4.88
6198104039719829760,327.12319485271314,17.30867857316805,223.44565919368523,-39.74741674983148,9.344218796667613,-0.02,-0.06,0.09,-24.024659061782693,2.9284914,18.0,10.0,0.29,5.94
1064733838767521408,147.27743001020343,42.59426619689506,147.19500733390703,64.89446697480156,16.93304725892566,0.02,0.02,-0.05,-19.67434662793379,1.5505229,31.0,9.0,0.21,6.07
3355243608580317568,199.8110121180579,2.1906543422556135,98.77953722739414,12.668832693728897,12.030632935196778,0.0,-0.03,-0.08,,1.6134181,24.0,5.0,0.11,6.45
